GEOID20_0KM,AREAID
720610402001016,110493905022
720610402001015,110493905022
720610402001013,110493905022
720610402001012,110493905022
720610402001011,110493905022
720610402001010,110493905022
720610402001009,110493905022
720610402001007,110493905022
720757109022030,1101209139538
720757109022029,1101209139538
720757109022028,1101209139538
720757109022027,1101209139538
720757109022026,1101209139538
720757109022025,1101209139538
720757109022024,1101209139538
720757109022023,1101209139538
720757109022009,1101209139538
720757109022008,1101209139538
720757109022007,1101209139538
720757109022006,1101209139538
720757109022005,1101209139538
720757109022004,1101209139538
720757109022003,1101209139538
720757109022002,1101209139538
720757109022001,1101209139538
720757109022000,1101209139538
720757109023001,1101209139538
720054003001014,11096090604
720054003001003,11096090604
720054003001000,11096090604
720054001001009,11096090604
720054001001008,11096090604
720054001001007,11096090604
720054005011000,11096090604
720054003002049,11096090604
720054003002048,11096090604
720054003002047,11096090604
720054003002046,11096090604
720054003002045,11096090604
720054003002044,11096090604
720054003002043,11096090604
720054003002042,11096090604
720054003002041,11096090604
720054003002040,11096090604
720054003002037,11096090604
720054003002036,11096090604
720054003002035,11096090604
720054003002023,11096090604
720054003002022,11096090604
720054003002021,11096090604
720054003002017,11096090604
720054003002015,11096090604
720054003002009,11096090604
720054003002007,11096090604
720054003002006,11096090604
720054003002005,11096090604
720054003002004,11096090604
720054003002003,11096090604
720054003002002,11096090604
720054003001042,11096090604
720054003001020,11096090604
720054003001019,11096090604
720054003001018,11096090604
720054003001017,11096090604
720054003001016,11096090604
720054003002026,11096090604
720054003002025,11096090604
720054003002024,11096090604
721270069003005,110687320962
721270069001011,110687320962
721270069001009,110687320962
721270069004008,110687320962
721270075002006,110687320962
721270075002000,110687320962
721270075001002,110687320962
721270075001001,110687320962
721270074002005,110687320962
721270074001005,110687320962
721270074001004,110687320962
721270075001000,110687320962
721270005062026,110687320958
721270006002022,110687320958
721270006002023,110687320958
721270006002024,110687320958
721270007002010,110687320958
721270007002011,110687320958
721270007002012,110687320958
721270007002013,110687320958
721270007002014,110687320958
721270007002016,110687320958
721270042002003,110687320958
721270006002011,110687320958
721270005061022,110687320958
721279801081000,110687320958
721270042002031,110687320958
721270042002013,110687320958
721270042002012,110687320958
721270042002011,110687320958
721270042002010,110687320958
721270042002009,110687320958
560210019022113,110323029016
560210019022112,110323029016
560210019022111,110323029016
560210019022110,110323029016
560210019022104,110323029016
560210019022093,110323029016
560210019021004,110323029016
560210019021003,110323029016
560210019021002,110323029016
560210019021001,110323029016
560210019021000,110323029016
560210012002035,110323029016
560210012002034,110323029016
560210012002029,110323029016
560210012002028,110323029016
560210012002023,110323029016
560210012001031,110323029016
560210012001025,110323029016
560210012001009,110323029016
560210011003010,110323029016
560210011003009,110323029016
560210011003008,110323029016
560210011003007,110323029016
560210011003006,110323029016
560210011003005,110323029016
560210011003004,110323029016
560210011003003,110323029016
560210011003002,110323029016
560210011003001,110323029016
560210011003000,110323029016
560210011002066,110323029016
560210011002065,110323029016
560210011002064,110323029016
560210011002063,110323029016
560210011002062,110323029016
560210011002061,110323029016
560210011002060,110323029016
560210011002059,110323029016
560210011002058,110323029016
560210011002057,110323029016
560210011002056,110323029016
560210011002055,110323029016
560210011002054,110323029016
560210011002053,110323029016
560210011002052,110323029016
560210011002051,110323029016
560210011002050,110323029016
560210011002049,110323029016
560210011002048,110323029016
560210011002047,110323029016
560210011002046,110323029016
560210011002045,110323029016
560210011002044,110323029016
560210011002043,110323029016
560210011002042,110323029016
560210011002041,110323029016
721371218022002,110497917413
721371218022001,110497917413
721371218022000,110497917413
721371218011000,110497917413
721371217024019,110497917413
721371217024012,110497917413
721371217024009,110497917413
721371217023008,110497917413
721371217023007,110497917413
721371217023006,110497917413
721371217023005,110497917413
721371217023004,110497917413
721371217023003,110497917413
721371217023002,110497917413
721371217023001,110497917413
721371217023000,110497917413
721371217021002,110497917413
721371217021000,110497917413
721371217011023,110497917413
721371217011022,110497917413
721371217011015,110497917413
721371217011006,110497917413
721371217011005,110497917413
721371217011004,110497917413
721371217011003,110497917413
721371217011002,110497917413
721371217011001,110497917413
721371217011000,110497917413
721371214003016,110497917413
721371214003015,110497917413
721371214003014,110497917413
721371214003011,110497917413
721371214001006,110497917413
721371210012010,110497917413
721371210012009,110497917413
721371226004011,110497917413
721371226004008,110497917413
721371226004007,110497917413
721371226004006,110497917413
721371226002010,110497917413
721371226002009,110497917413
721371226002001,110497917413
721371226002000,110497917413
721371226001004,110497917413
530299704021000,110489936313
530299704012000,110489936313
530299704011000,110489936313
530299703002021,110489936313
530299703002020,110489936313
530299703002018,110489936313
530299702001039,110489936313
530299702001038,110489936313
530299702001037,110489936313
530299702001036,110489936313
530299702001035,110489936313
530299702001034,110489936313
560210011002040,110323029016
560210011002039,110323029016
560210011002038,110323029016
560210011002037,110323029016
560210011002036,110323029016
560210011002035,110323029016
560210011002034,110323029016
560210011002033,110323029016
560210011002032,110323029016
560210011002031,110323029016
560210011002030,110323029016
560210011002029,110323029016
560210011002028,110323029016
560210011002027,110323029016
560210011002026,110323029016
560210011002025,110323029016
560210011002024,110323029016
560210011002023,110323029016
560210011002022,110323029016
560210011002021,110323029016
560210011002020,110323029016
560210011002019,110323029016
560210011002018,110323029016
560210011002017,110323029016
560210011002016,110323029016
560210011002015,110323029016
560210011002014,110323029016
560210011002013,110323029016
560210011002012,110323029016
560210011002011,110323029016
560210011002010,110323029016
560210011002009,110323029016
560210011002008,110323029016
560210011002007,110323029016
560210011002006,110323029016
560210011002005,110323029016
560210011002004,110323029016
560210011002003,110323029016
560210011002002,110323029016
560210011002001,110323029016
560210011002000,110323029016
560210011001014,110323029016
560210011001013,110323029016
560210011001012,110323029016
560210011001011,110323029016
560210011001010,110323029016
560210011001009,110323029016
560210011001008,110323029016
560210011001007,110323029016
560210011001006,110323029016
560210011001005,110323029016
560210011001004,110323029016
560210011001003,110323029016
560210011001002,110323029016
560210011001001,110323029016
560210011001000,110323029016
560210010001028,110323029016
560210010001027,110323029016
560210009001005,110323029016
560210009001004,110323029016
560210009001003,110323029016
560210007022042,110323029016
720210301013005,110493905022
720210301013003,110493905022
720210301011022,110493905022
720210301011017,110493905022
720210301011009,110493905022
720210301011008,110493905022
720210301011007,110493905022
720210301011006,110493905022
720210301011005,110493905022
720210301011004,110493905022
720210301011003,110493905022
720210301011002,110493905022
720210301011001,110493905022
720210301011000,110493905022
720610402001030,110493905022
720610402001027,110493905022
720610402001026,110493905022
720610402001025,110493905022
720610402001024,110493905022
720610402001023,110493905022
720610402001022,110493905022
720610402001021,110493905022
720610402001020,110493905022
720610402001019,110493905022
720610402001018,110493905022
720610402001017,110493905022
530299702001033,110489936313
530299702001032,110489936313
530299702001031,110489936313
530299702001030,110489936313
530299702001029,110489936313
530299702001028,110489936313
530299702001027,110489936313
530299702001026,110489936313
530299702001025,110489936313
530299702001024,110489936313
530299702001023,110489936313
530299702001022,110489936313
530299702001021,110489936313
530299702001020,110489936313
530299702001019,110489936313
530299702001018,110489936313
530299702001017,110489936313
530299702001016,110489936313
530299702001015,110489936313
530299702001014,110489936313
530299702001013,110489936313
530299702001012,110489936313
530299702001010,110489936313
530299702001009,110489936313
530299702001008,110489936313
530299702001007,110489936313
530299702001006,110489936313
530299702001005,110489936313
530299702001004,110489936313
530299702001003,110489936313
530299702001002,110489936313
530299702001001,110489936313
530299702001000,110489936313
530299701001024,110489936313
530299701001016,110489936313
530270002023053,110569414929
530270002023032,110569414929
530270002023025,110569414929
530270002023007,110569414929
530270016012045,110569414983
530270016012044,110569414983
530270016012030,110569414983
530270016012009,110569414983
530270016012008,110569414983
530270016012007,110569414983
550590010003000,110449579959
550590003003021,110449579959
550590003003020,110449579959
550590003003019,110449579959
550590003003001,110449579959
550759614005006,110272888407
550759614005000,110272888407
550571002004007,110459262773
550571002004006,110459262773
550571002004005,110459262773
550571002004004,110459262773
550571002001083,110459262773
550571002001081,110459262773
550571002001080,110459262773
550571002001079,110459262773
550571002001078,110459262773
550571002001077,110459262773
550571002001076,110459262773
550571002001075,110459262773
550571002001074,110459262773
550571002001073,110459262773
550571002001072,110459262773
550571002001061,110459262773
550571002001060,110459262773
550571002001056,110459262773
550571002001042,110459262756
550571002001043,110459262756
550571002001044,110459262756
550571002001045,110459262756
550571002001046,110459262756
550571002001047,110459262756
550571002001048,110459262756
550571002001055,110459262756
550571002001056,110459262756
550571002001057,110459262756
550571002001058,110459262756
550571002001059,110459262756
550571002001060,110459262756
550571002001061,110459262756
550571002001072,110459262756
550571002001073,110459262756
550571002001074,110459262756
550571002001075,110459262756
550571002001076,110459262756
550571002001077,110459262756
550571002001078,110459262756
550571002001083,110459262756
550571002001085,110459262756
550571002001086,110459262756
550571002001041,110459262756
550571002001040,110459262756
550571002001039,110459262756
550571002001038,110459262756
550571002001037,110459262756
550571002001022,110459262756
530530729011007,1101920175964
530530729011008,1101920175964
530530729011015,1101920175964
530530729011016,1101920175964
530530729011017,1101920175964
530530729011018,1101920175964
530530729011019,1101920175964
530530729011020,1101920175964
530530729011021,1101920175964
530530729011022,1101920175964
530530729011023,1101920175964
530530729011024,1101920175964
530530729011025,1101920175964
530530729011026,1101920175964
530530729011027,1101920175964
530530729011028,1101920175964
530530729011029,1101920175964
530530729011030,1101920175964
530530729011031,1101920175964
530530729011032,1101920175964
530530729011033,1101920175964
530530729011034,1101920175964
530530729011035,1101920175964
530530729011036,1101920175964
530530729011037,1101920175964
530530729011038,1101920175964
530530729011039,1101920175964
530530729011040,1101920175964
530530729011041,1101920175964
530530729011042,1101920175964
530530729011043,1101920175964
530530729011044,1101920175964
530530729011045,1101920175964
530530729011046,1101920175964
530530718073011,1101920175964
530530718063006,1101920175964
530530718063005,1101920175964
530530718062006,1101920175964
530530718062003,1101920175964
530530717061026,1101920175964
530530717061025,1101920175964
530530717061024,1101920175964
530530717061010,1101920175964
530530717061009,1101920175964
530530717061003,1101920175964
530530715034018,1101920175964
530530715034017,1101920175964
530530715034014,1101920175964
530530715034013,1101920175964
530530715034011,1101920175964
530530715034001,1101920175964
530530729011014,1101920175964
530530729011013,1101920175964
530530729011012,1101920175964
530530729011011,1101920175964
530530729011010,1101920175964
530530729011009,1101920175964
530530729011003,1101920175964
530530729011002,1101920175964
530530729011001,1101920175964
530530729011000,1101920175964
530530729011047,1101920175964
530530729011048,1101920175964
530530729011049,1101920175964
530530729011050,1101920175964
530530729011051,1101920175964
530530729011052,1101920175964
530530729011053,1101920175964
560319591002126,110560388548
560319591002106,110560388548
560319591002010,110560388548
560319591002004,110560388548
560319591002002,110560388548
560319591002001,110560388548
560319591002192,110560388548
560319591002191,110560388548
560319591002184,110560388548
560319591002183,110560388548
560319591002182,110560388548
560319591002181,110560388548
560319591002180,110560388548
560319591002179,110560388548
560319591002178,110560388548
560319591002177,110560388548
560319591002171,110560388548
560319591002170,110560388548
560319591002169,110560388548
560319591002147,110560388548
560319591002146,110560388548
560319591002145,110560388548
560319591002144,110560388548
560319591002143,110560388548
560319591002142,110560388548
560319591002138,110560388548
560319591002131,110560388548
560210019022175,110323029016
560210019022174,110323029016
560210019022159,110323029016
560210019022115,110323029016
560210019022114,110323029016
517100009021047,110763374868
517100009021048,110763374868
517100009021049,110763374868
517100009021050,110763374868
517100009021051,110763374868
517100009021077,110763374868
517100009021078,110763374868
517100009021079,110763374868
517100009021080,110763374868
517100009021081,110763374868
517100009021082,110763374868
517100009021083,110763374868
517100009021086,110763374868
517100009021090,110763374868
517100009021106,110763374868
517100013001012,110763374868
517100013002000,110763374868
517100013001000,110763374868
517100009021120,110763374868
517100009021118,110763374868
517100009021117,110763374868
517100009021116,110763374868
517100009021115,110763374868
517100009021114,110763374868
517100009021113,110763374868
517100009021112,110763374868
530530729011054,1101920175964
530530729011055,1101920175964
530530729011056,1101920175964
530530729011057,1101920175964
530530729011058,1101920175964
530530729011059,1101920175964
530530729011060,1101920175964
530530729011061,1101920175964
530530729011062,1101920175964
530530729011063,1101920175964
530530729011064,1101920175964
530530729011065,1101920175964
530530729011066,1101920175964
530530729011067,1101920175964
530530729011068,1101920175964
530530729011069,1101920175964
530530729011070,1101920175964
530530729011071,1101920175964
530530729011072,1101920175964
530530729011073,1101920175964
530530729011074,1101920175964
530530729011075,1101920175964
530530729011076,1101920175964
530530729011077,1101920175964
530530729011078,1101920175964
530530729011079,1101920175964
530530729011080,1101920175964
530530729011081,1101920175964
530530729011082,1101920175964
530530729011083,1101920175964
530530729011084,1101920175964
530530729011085,1101920175964
530530729011086,1101920175964
530530729011087,1101920175964
530530729011088,1101920175964
530530729011089,1101920175964
530530729011090,1101920175964
530530729011091,1101920175964
530530729011092,1101920175964
530530729011093,1101920175964
530530729011094,1101920175964
530530729011095,1101920175964
530530729011096,1101920175964
530530729011097,1101920175964
530530729011098,1101920175964
530530729011099,1101920175964
530530729011100,1101920175964
530530729011101,1101920175964
530530729011102,1101920175964
530530729011103,1101920175964
530530729011104,1101920175964
530530729011105,1101920175964
530530729011106,1101920175964
530530729011107,1101920175964
530530729071000,1101920175964
530530729071001,1101920175964
530530729071002,1101920175964
530530729092007,1101920175964
530530729092008,1101920175964
530530729092009,1101920175964
530530729092010,1101920175964
530530729092169,1101920175964
530299701001005,110489936313
530299701001010,110489936313
530299701001013,110489936313
530299702001040,110489936313
530299703002025,110489936313
530299703002028,110489936313
530299704021007,110489936313
530299704022003,110489936313
530299704022001,110489936313
530299704022000,110489936313
530299704021002,110489936313
530299704021001,110489936313
517100009021111,110763374868
517100009021110,110763374868
517100009021109,110763374868
517100009021108,110763374868
517100009021107,110763374868
517100009021084,110763374868
517100009021076,110763374868
517100009021075,110763374868
517100009021074,110763374868
517100009021073,110763374868
517100009021072,110763374868
517100009021071,110763374868
517100009021070,110763374868
517100009021069,110763374868
517100009021068,110763374868
517100009021067,110763374868
517100009021066,110763374868
517100009021065,110763374868
517100009021064,110763374868
517100009021063,110763374868
517100009021062,110763374868
517100009021061,110763374868
517100009021060,110763374868
517100009021059,110763374868
517100009021058,110763374868
517100009021057,110763374868
517100009021056,110763374868
517100009021055,110763374868
517100009021054,110763374868
517100009021053,110763374868
517100009021052,110763374868
517100009021040,110763374868
517100009021039,110763374868
517100009021038,110763374868
517100009021037,110763374868
517100009021036,110763374868
517100009021035,110763374868
517100009021034,110763374868
517100009021033,110763374868
517100009021032,110763374868
517100009021031,110763374868
517100009021030,110763374868
517100009021029,110763374868
517100009021028,110763374868
517100009021027,110763374868
517100009021026,110763374868
517100009021025,110763374868
517100009021024,110763374868
517100009021023,110763374868
517100009021022,110763374868
517100009021021,110763374868
517100009021020,110763374868
517100009021019,110763374868
517100009021018,110763374868
517100009021017,110763374868
517100009021015,110763374868
517100009021014,110763374868
517100009021013,110763374868
517100009021012,110763374868
517100009021011,110763374868
517100009021010,110763374868
517100009021009,110763374868
517100009021008,110763374868
517100009021007,110763374868
517100009021006,110763374868
517100009021005,110763374868
517100009021004,110763374868
517100009021003,110763374868
517100009021002,110763374868
517100009021001,110763374868
